id,meal_name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,season,tag,allergen,createdAt,updatedAt
68,Egg Omelette,breakfast,379.0,42.3,27.4,12.1,9.5,294.0,all,recovery,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
69,Oatmeal Bowl,breakfast,310.0,41.4,52.6,16.0,11.2,272.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
70,Spinach Egg Wrap,breakfast,432.0,25.8,54.5,16.4,2.8,412.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
71,Egg Omelette,breakfast,648.0,33.2,24.6,19.9,7.2,265.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
72,Peanut Butter Toast,breakfast,390.0,29.2,39.8,18.3,10.9,152.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
73,Spinach Egg Wrap,breakfast,321.0,43.9,32.5,20.3,8.5,155.0,all,recovery,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
74,Avocado Toast,breakfast,510.0,30.3,52.6,8.1,11.7,284.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
75,Spinach Egg Wrap,breakfast,459.0,31.5,44.3,25.2,9.7,289.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
76,Muesli Bowl,breakfast,388.0,31.1,69.4,12.0,2.4,353.0,all,recovery,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
77,Granola Yogurt,breakfast,571.0,27.4,57.0,10.1,4.2,219.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
78,Almond Oatmeal,breakfast,311.0,30.7,63.1,12.7,11.2,334.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
79,Berry Smoothie,breakfast,356.0,24.5,48.6,25.5,11.9,309.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
80,Peanut Butter Toast,breakfast,583.0,24.4,53.1,15.4,11.6,320.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
81,Chia Pudding,breakfast,347.0,13.8,46.7,8.6,7.7,435.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
82,Berry Smoothie,breakfast,529.0,31.9,20.2,24.0,6.1,447.0,all,muscle_gain,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
83,Berry Smoothie,breakfast,629.0,15.7,41.0,9.9,10.7,218.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
84,Egg Omelette,breakfast,594.0,29.2,26.3,9.3,3.1,433.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
85,Greek Yogurt Bowl,breakfast,398.0,18.4,59.8,12.8,4.1,428.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
86,Muesli Bowl,breakfast,568.0,40.0,58.4,28.2,7.2,377.0,all,high_protein,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
87,Peanut Butter Toast,breakfast,601.0,39.7,30.5,14.9,2.6,360.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
88,Greek Yogurt Bowl,breakfast,428.0,26.9,66.1,26.6,2.2,279.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
89,Almond Oatmeal,breakfast,393.0,16.2,37.8,20.3,6.2,429.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
90,Oatmeal Bowl,breakfast,407.0,35.0,47.5,14.9,3.9,194.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
91,Berry Smoothie,breakfast,386.0,46.5,43.9,20.1,2.0,249.0,all,muscle_gain,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
92,Spinach Egg Wrap,breakfast,472.0,36.2,32.2,7.5,11.7,217.0,all,recovery,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
93,Spinach Egg Wrap,breakfast,565.0,44.8,65.7,8.7,11.0,314.0,all,energy,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
94,Almond Oatmeal,breakfast,442.0,12.7,22.2,24.9,10.5,439.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
95,Peanut Butter Toast,breakfast,523.0,46.7,51.3,16.2,10.0,160.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
96,Muesli Bowl,breakfast,411.0,39.9,69.3,20.6,5.8,261.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
97,Vegetable Omelette,breakfast,311.0,27.8,53.8,13.2,8.8,239.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
98,Banana Pancakes,breakfast,540.0,19.3,26.2,7.2,3.9,446.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
99,Berry Smoothie,breakfast,575.0,29.4,35.3,26.1,10.5,168.0,all,recovery,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
100,Egg Omelette,breakfast,558.0,33.1,25.7,6.9,4.7,250.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
101,Chia Pudding,breakfast,465.0,36.2,45.5,29.4,9.8,411.0,all,energy,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
102,Apple Cinnamon Oats,breakfast,574.0,48.3,61.7,28.0,10.3,270.0,all,energy,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
103,Greek Yogurt Bowl,breakfast,374.0,25.5,55.0,8.8,5.6,233.0,all,anti_inflammatory,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
104,Spinach Egg Wrap,breakfast,638.0,19.5,29.9,17.7,3.0,179.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
105,Apple Cinnamon Oats,breakfast,515.0,42.4,54.5,26.7,5.8,324.0,all,energy,,2026-03-05 16:49:56,2026-03-05 16:49:56
106,Chia Pudding,breakfast,515.0,24.0,62.1,7.4,3.1,415.0,all,recovery,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
107,Chicken Rice Bowl,lunch,595.0,14.1,60.2,15.7,7.3,204.0,all,muscle_gain,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
108,Shrimp Rice Plate,lunch,529.0,39.4,23.6,8.6,6.3,170.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
109,Salmon Grain Bowl,lunch,319.0,22.7,36.1,12.2,3.3,273.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
110,Grilled Fish Plate,lunch,647.0,13.8,20.2,8.6,9.5,340.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
111,Veggie Pasta,lunch,640.0,37.7,57.7,23.4,2.9,267.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
112,Salmon Grain Bowl,lunch,335.0,38.1,35.9,6.7,6.3,352.0,all,energy,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
113,Turkey Sandwich,lunch,366.0,13.7,34.3,5.9,7.9,329.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
114,Paneer Salad,lunch,383.0,20.8,29.0,21.1,2.5,222.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
115,Turkey Sandwich,lunch,446.0,44.1,61.1,29.3,9.1,173.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
116,Lentil Veg Bowl,lunch,616.0,37.3,62.1,18.6,2.0,276.0,all,high_protein,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
117,Grilled Fish Plate,lunch,525.0,49.9,21.4,10.4,5.0,397.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
118,Grilled Chicken Salad,lunch,418.0,14.3,61.8,9.3,5.1,329.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
119,Beef Burrito Bowl,lunch,391.0,41.9,26.3,5.4,8.2,204.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
120,Chicken Rice Bowl,lunch,626.0,30.3,39.7,28.7,9.3,160.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
121,Grilled Chicken Salad,lunch,603.0,33.3,26.3,25.6,3.6,234.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
122,Turkey Sandwich,lunch,551.0,26.9,65.0,23.5,7.7,157.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
123,Veggie Wrap,lunch,440.0,25.5,26.7,29.3,7.5,434.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
124,Veggie Pasta,lunch,557.0,15.2,36.6,13.0,10.3,174.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
125,Veggie Pasta,lunch,309.0,27.0,58.0,13.4,2.6,410.0,all,energy,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
126,Chicken Caesar Salad,lunch,310.0,37.5,36.9,25.9,4.4,412.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
127,Turkey Sandwich,lunch,320.0,33.1,35.1,24.4,6.8,226.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
128,Tofu Buddha Bowl,lunch,303.0,14.9,56.8,15.3,8.1,353.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
129,Lentil Veg Bowl,lunch,517.0,33.8,29.9,25.2,7.2,422.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
130,Beef Burrito Bowl,lunch,330.0,29.4,61.5,8.7,7.0,280.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
131,Grilled Chicken Salad,lunch,614.0,42.6,42.9,23.7,4.7,151.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
132,Grilled Fish Plate,lunch,390.0,41.5,62.7,5.0,11.0,257.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
133,Chickpea Bowl,lunch,555.0,24.0,52.6,22.7,3.7,312.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
134,Tofu Buddha Bowl,lunch,352.0,20.7,54.8,24.5,3.1,186.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
135,Veggie Pasta,lunch,520.0,37.7,64.4,6.3,3.3,242.0,all,recovery,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
136,Lentil Veg Bowl,lunch,315.0,30.5,52.4,28.2,8.2,207.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
137,Veggie Wrap,lunch,543.0,14.4,39.0,7.3,4.5,178.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
138,Quinoa Veg Bowl,lunch,580.0,12.9,42.0,15.9,3.4,196.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
139,Grilled Fish Plate,lunch,575.0,49.8,35.1,9.0,9.3,392.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
140,Chicken Rice Bowl,lunch,355.0,30.6,51.4,16.7,11.7,221.0,all,recovery,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
141,Shrimp Rice Plate,lunch,468.0,20.0,42.3,21.7,3.3,170.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
142,Chickpea Bowl,lunch,544.0,46.3,67.0,15.6,9.8,164.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
143,Beef Burrito Bowl,lunch,511.0,24.1,25.1,7.7,10.6,295.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
144,Tofu Buddha Bowl,lunch,445.0,19.8,56.7,29.3,3.4,435.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
145,Quinoa Veg Bowl,lunch,377.0,30.0,63.7,18.1,8.4,158.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
146,Grilled Fish Plate,lunch,539.0,40.5,45.8,24.9,9.6,232.0,all,energy,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
147,Grilled Fish Plate,lunch,478.0,47.0,31.4,7.5,11.6,230.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
148,Veggie Pasta,lunch,379.0,43.6,31.9,13.3,2.7,382.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
149,Tofu Buddha Bowl,lunch,602.0,35.7,44.3,5.3,6.4,152.0,all,high_protein,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
150,Tofu Buddha Bowl,lunch,542.0,36.9,28.7,9.3,6.4,163.0,all,recovery,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
151,Chicken Caesar Salad,lunch,431.0,34.9,61.2,21.9,7.7,333.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
152,Chickpea Bowl,lunch,531.0,17.5,46.0,20.2,3.6,254.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
153,Chicken Rice Bowl,lunch,387.0,33.9,34.1,13.8,5.2,378.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
154,Chickpea Bowl,lunch,563.0,24.6,55.9,25.0,10.6,206.0,all,recovery,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
155,Grilled Fish Plate,lunch,555.0,20.8,66.7,6.0,8.4,427.0,all,anti_inflammatory,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
156,Veggie Wrap,lunch,411.0,41.3,68.7,20.6,10.8,437.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
157,Chickpea Bowl,lunch,580.0,16.1,25.9,24.8,7.2,200.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
158,Salmon Grain Bowl,lunch,493.0,28.3,46.8,8.1,9.5,183.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
159,Salmon Grain Bowl,lunch,467.0,43.9,20.6,12.1,6.3,176.0,all,muscle_gain,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
160,Tofu Buddha Bowl,lunch,402.0,44.9,35.7,8.7,2.0,444.0,all,energy,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
161,Turkey Sandwich,lunch,512.0,45.2,26.9,6.5,2.6,178.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
162,Veggie Pasta,lunch,352.0,20.5,61.6,20.5,3.7,258.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
163,Salmon Grain Bowl,lunch,531.0,29.7,28.8,15.1,11.5,152.0,all,anti_inflammatory,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
164,Turkey Sandwich,lunch,533.0,38.8,38.2,27.4,8.4,349.0,all,anti_inflammatory,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
165,Lentil Veg Bowl,lunch,605.0,19.7,32.7,24.2,2.9,444.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
166,Tofu Buddha Bowl,lunch,342.0,30.2,54.4,23.6,5.7,184.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
167,Chickpea Bowl,lunch,472.0,30.4,27.3,9.3,5.9,214.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
168,Grilled Chicken Salad,lunch,317.0,39.8,51.5,13.8,5.4,171.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
169,Grilled Chicken Salad,lunch,574.0,46.9,48.7,26.0,3.5,440.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
170,Chicken Caesar Salad,lunch,378.0,17.5,61.0,18.9,4.3,226.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
171,Quinoa Veg Bowl,lunch,590.0,49.1,29.3,7.9,11.8,438.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
172,Chicken Rice Bowl,lunch,508.0,23.7,22.2,28.0,3.3,355.0,all,recovery,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
173,Quinoa Veg Bowl,lunch,453.0,18.6,47.7,24.7,8.3,448.0,all,energy,,2026-03-05 16:49:56,2026-03-05 16:49:56
174,Veggie Wrap,lunch,550.0,32.0,54.6,25.9,11.3,449.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
175,Lentil Veg Bowl,lunch,389.0,34.9,58.5,21.0,9.6,274.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
176,Paneer Salad,lunch,366.0,36.2,24.7,14.8,3.5,416.0,all,recovery,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
177,Chickpea Bowl,lunch,489.0,28.8,28.9,25.1,5.4,271.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
178,Quinoa Veg Bowl,lunch,421.0,32.3,55.0,20.8,5.4,186.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
