hr_deviation,sleep_hours,activity_minutes,label
1.059,7.09,46.3,MODERATE
1.049,7.19,44.0,LOW
1.078,6.39,51.1,MODERATE
1.109,6.13,44.9,MODERATE
1.129,6.49,42.5,HIGH
1.207,4.06,46.6,HIGH
1.207,6.04,59.5,HIGH
1.104,6.44,57.0,MODERATE
1.033,7.39,34.9,LOW
1.04,7.38,52.6,MODERATE
1.086,6.39,68.2,MODERATE
1.219,4.34,40.7,HIGH
0.952,7.93,43.8,LOW
1.107,6.37,53.0,MODERATE
1.114,4.96,71.0,HIGH
0.961,8.41,40.2,LOW
1.025,8.69,43.7,LOW
1.012,8.87,55.1,LOW
1.077,6.96,70.4,MODERATE
1.05,7.78,54.5,LOW
1.061,7.61,21.4,LOW
1.109,4.9,44.2,HIGH
1.054,7.07,30.5,MODERATE
1.082,6.74,59.7,MODERATE
0.987,7.22,24.4,LOW
1.205,6.1,73.6,HIGH
1.102,7.37,54.3,MODERATE
0.965,8.71,57.0,LOW
1.007,7.65,28.3,LOW
1.172,5.35,59.0,HIGH
0.961,7.3,57.5,LOW
1.12,6.84,33.8,MODERATE
1.019,7.18,20.6,LOW
1.152,5.81,70.5,HIGH
1.062,6.92,37.2,MODERATE
1.039,7.46,43.8,LOW
0.991,7.75,59.6,LOW
1.061,8.35,57.3,LOW
1.204,6.32,59.2,HIGH
1.129,4.68,46.6,HIGH
1.062,6.26,38.3,MODERATE
1.038,8.13,40.1,LOW
1.233,4.59,48.9,HIGH
1.042,6.99,73.9,MODERATE
1.143,4.53,46.1,HIGH
1.247,6.1,69.8,HIGH
1.053,6.1,39.1,MODERATE
1.044,6.49,43.0,MODERATE
1.209,6.34,77.9,HIGH
1.173,4.24,84.9,HIGH
1.121,4.86,80.8,HIGH
1.005,8.9,41.9,LOW
1.194,5.13,56.2,HIGH
1.077,7.09,38.7,MODERATE
1.081,7.39,31.5,MODERATE
0.96,7.23,33.0,LOW
1.059,8.46,30.5,LOW
1.077,6.88,57.1,MODERATE
1.097,7.03,66.3,MODERATE
1.052,6.42,33.6,MODERATE
1.088,6.93,73.0,MODERATE
1.054,6.77,47.9,MODERATE
1.056,7.86,33.4,LOW
1.101,7.46,54.9,MODERATE
1.099,6.02,70.6,MODERATE
1.235,4.55,62.0,HIGH
1.04,6.51,47.6,MODERATE
1.084,4.71,42.1,HIGH
1.034,6.98,50.5,MODERATE
1.117,6.37,75.5,HIGH
1.12,7.34,47.9,MODERATE
1.04,7.24,52.0,MODERATE
1.04,6.91,46.9,MODERATE
1.143,5.97,52.4,HIGH
1.098,6.51,48.8,MODERATE
1.002,8.66,30.1,LOW
1.086,5.37,83.1,HIGH
1.184,5.52,52.2,HIGH
1.121,4.9,43.4,HIGH
1.03,8.6,43.4,LOW
1.054,7.16,61.7,MODERATE
1.156,4.44,60.2,HIGH
1.107,6.84,71.9,MODERATE
1.098,7.0,58.2,MODERATE
1.047,8.52,38.9,LOW
0.956,8.24,50.6,LOW
1.168,4.8,67.2,HIGH
1.169,6.13,65.5,HIGH
0.953,8.19,27.7,LOW
1.191,5.33,58.8,HIGH
1.11,6.83,67.2,MODERATE
1.037,6.78,64.2,MODERATE
1.09,4.28,83.4,HIGH
1.184,5.78,70.2,HIGH
1.089,4.99,52.1,HIGH
1.096,5.07,63.4,HIGH
1.06,7.37,60.0,MODERATE
1.012,7.33,56.7,LOW
1.179,4.02,45.3,HIGH
1.092,6.95,57.7,MODERATE
1.199,6.01,70.1,HIGH
1.2,4.81,51.6,HIGH
1.139,4.76,74.6,HIGH
1.034,6.19,67.9,MODERATE
1.034,7.46,47.4,MODERATE
1.194,5.8,69.9,HIGH
1.07,6.3,66.7,MODERATE
1.132,4.35,61.5,HIGH
1.133,4.01,47.3,HIGH
1.065,6.65,46.4,MODERATE
1.0,7.26,52.1,LOW
1.175,5.32,62.8,HIGH
1.238,5.22,64.4,HIGH
1.053,7.18,37.8,LOW
1.02,8.03,54.2,LOW
1.036,6.43,38.8,MODERATE
1.108,4.6,83.1,HIGH
0.955,8.04,28.2,LOW
1.013,8.62,38.4,LOW
1.176,5.99,73.7,HIGH
1.015,7.71,41.6,LOW
1.068,7.29,68.6,MODERATE
1.093,6.49,40.6,MODERATE
1.057,7.37,47.6,LOW
1.037,7.38,38.8,MODERATE
1.002,7.68,31.3,LOW
0.951,7.28,53.3,LOW
1.22,5.79,47.1,HIGH
0.978,8.52,50.9,LOW
1.11,7.06,51.8,MODERATE
1.15,4.36,48.5,HIGH
1.097,4.48,78.3,HIGH
1.115,6.34,33.2,MODERATE
1.042,8.95,34.8,LOW
1.155,5.29,69.9,HIGH
1.006,8.9,43.8,LOW
1.042,8.88,26.2,LOW
1.235,4.94,74.7,HIGH
1.069,7.56,59.1,LOW
1.198,5.29,49.6,HIGH
1.085,4.53,53.8,HIGH
1.033,7.35,31.6,LOW
1.03,7.3,26.7,LOW
1.056,8.38,29.2,LOW
1.116,6.59,56.6,MODERATE
1.223,6.23,66.6,HIGH
1.014,8.17,54.9,LOW
1.211,4.78,45.9,HIGH
1.091,7.24,49.7,MODERATE
1.066,7.76,45.3,LOW
1.1,6.54,67.6,MODERATE
1.022,7.86,32.9,LOW
1.121,5.37,65.9,HIGH
1.113,5.26,55.4,HIGH
1.037,6.81,40.3,MODERATE
1.208,6.13,70.5,HIGH
1.084,6.2,35.2,MODERATE
1.155,4.66,64.5,HIGH
1.155,4.86,49.5,HIGH
1.019,7.36,44.3,LOW
1.119,6.68,55.9,MODERATE
1.035,7.67,51.3,LOW
0.953,8.71,56.3,LOW
1.015,7.5,49.3,LOW
0.965,7.09,55.9,LOW
1.081,5.38,52.3,HIGH
1.241,6.01,72.0,HIGH
1.137,4.92,89.7,HIGH
1.231,5.68,79.3,HIGH
1.156,5.68,54.2,HIGH
1.077,7.12,30.3,MODERATE
1.045,7.37,59.7,LOW
1.002,7.61,26.8,LOW
1.117,6.99,31.5,MODERATE
1.048,7.48,34.4,MODERATE
1.247,4.35,66.9,HIGH
1.108,4.46,74.8,HIGH
1.039,6.61,33.6,MODERATE
1.079,6.17,37.4,MODERATE
0.951,8.86,58.1,LOW
1.193,4.25,77.7,HIGH
1.218,6.01,89.9,HIGH
1.12,4.98,74.3,HIGH
1.017,8.62,31.6,LOW
1.044,6.84,63.8,MODERATE
1.006,7.35,45.4,LOW
0.987,8.48,56.8,LOW
1.1,6.13,82.9,HIGH
1.074,6.5,62.4,MODERATE
0.998,9.0,51.3,LOW
1.109,6.17,50.7,MODERATE
1.083,6.21,74.6,MODERATE
1.145,4.95,61.4,HIGH
1.22,4.45,57.0,HIGH
1.094,7.16,31.5,MODERATE
1.245,5.48,62.6,HIGH
0.972,8.81,35.4,LOW
0.993,7.18,21.2,LOW
1.111,6.64,61.3,MODERATE
1.165,4.82,49.9,HIGH
1.035,7.44,56.2,MODERATE
0.97,7.32,38.6,LOW
0.965,7.35,28.7,LOW
1.149,5.99,74.7,HIGH
1.051,7.77,39.5,LOW
1.072,6.77,42.4,MODERATE
